Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;4;1;12;1;3;1;19;24;1;1;0;0;0;1;0;0;28;0;0;7;0;0;0.0;0;0;8;0;0;0.0;0;7.6;2.6;0.32;Dropout
1;1;1;12;1;1;1;3;1;4;4;0;1;0;1;0;0;18;0;0;7;10;6;11.98;0;0;8;11;7;13.225;0;16.2;0.3;-0.92;Graduate
1;8;1;10;1;1;1;23;14;29;39;1;0;0;1;0;1;21;0;0;6;8;5;13.2;0;0;6;7;5;11.8;0;8.9;1.4;3.51;Enrolled
1;1;1;12;1;1;1;1;1;5;5;0;0;0;1;0;0;19;0;0;7;10;6;11.614.285.714.285.700;0;0;8;8;8;140.375;0;13.9;-0.3;0.79;Graduate
1;9;6;12;1;1;1;1;14;2;2;1;0;0;1;0;1;18;0;0;8;8;7;14.314.285.714.285.700;0;0;8;8;7;14.314.285.714.285.700;0;12.7;3.7;-1.7;Graduate
1;1;3;12;1;1;1;3;1;3;6;0;0;0;1;0;0;19;0;0;7;0;0;0.0;0;0;8;0;0;0.0;0;7.6;2.6;0.32;Dropout
1;15;1;6;1;14;1;23;28;10;8;0;0;0;1;0;0;20;0;2;6;9;6;12.666.666.666.666.600;0;1;6;12;2;13.0;0;13.9;-0.3;0.79;Enrolled
1;1;3;12;1;1;1;1;14;10;6;1;0;0;1;0;1;20;0;0;7;9;6;12.766.666.666.666.600;0;0;8;10;7;12.128.571.428.571.400;0;12.4;0.5;1.79;Graduate
1;8;1;16;1;1;1;1;27;8;10;0;0;0;1;0;1;18;0;0;6;7;6;12.666.666.666.666.600;0;0;6;7;5;12.2;0;10.8;1.4;1.74;Graduate
1;14;2;14;1;1;1;23;14;5;4;1;0;0;1;0;0;20;0;4;6;7;6;11.5;0;0;6;10;4;10.571.428.571.428.500;0;10.8;1.4;1.74;Dropout
1;12;1;14;1;1;1;1;14;6;5;0;0;0;1;0;0;31;0;2;6;13;5;11.4;0;0;6;14;4;11.75;0;13.9;-0.3;0.79;Dropout
1;8;3;12;1;1;1;22;27;10;8;1;0;0;1;0;1;19;0;0;7;8;7;1.470.625;0;0;8;8;8;144.775;0;15.5;2.8;-4.06;Graduate
1;1;3;12;1;1;1;23;28;6;6;1;0;0;1;0;1;19;0;0;7;9;6;11.814.285.714.285.700;0;0;8;8;7;13.542.857.142.857.100;0;13.9;-0.3;0.79;Graduate
1;1;1;5;1;1;1;13;1;4;9;0;0;0;1;0;0;23;0;1;6;8;6;13.0;1;0;6;8;6;11.875;0;13.9;-0.3;0.79;Graduate
1;1;1;14;1;1;1;22;27;6;6;0;0;0;1;0;0;19;0;0;6;7;6;14.857.142.857.142.800;0;0;6;6;6;13.333.333.333.333.300;0;12.4;0.5;1.79;Graduate
1;1;6;12;1;1;1;1;3;4;3;1;0;0;1;0;0;20;0;0;7;7;6;12.6;0;0;7;7;6;12.6;0;7.6;2.6;0.32;Graduate
1;1;1;6;1;1;1;22;27;10;5;1;0;1;1;0;0;22;0;0;6;9;5;13.333.333.333.333.300;0;0;6;17;4;11.4;0;12.4;0.5;1.79;Enrolled
1;1;1;16;1;1;1;3;1;3;6;1;1;0;1;0;0;18;0;0;7;10;6;10.666.666.666.666.600;0;0;7;12;6;12.833.333.333.333.300;0;13.9;-0.3;0.79;Enrolled
1;4;3;8;1;3;1;13;27;12;6;0;0;1;0;0;0;27;0;1;5;6;2;11.5;0;0;5;5;1;11.0;0;12.7;3.7;-1.7;Dropout
1;12;1;13;1;12;1;22;28;10;10;0;0;0;1;0;0;29;0;0;7;9;1;10.0;0;0;7;0;0;0.0;0;12.7;3.7;-1.7;Dropout
1;8;1;11;1;1;1;1;14;5;4;1;0;0;1;0;0;18;0;0;6;10;5;11.8;0;0;6;10;5;12.2;0;11.1;0.6;2.02;Graduate
1;8;1;5;1;1;1;13;28;10;8;0;0;0;1;0;0;18;0;0;6;7;5;11.8;0;0;6;6;6;12.666.666.666.666.600;0;16.2;0.3;-0.92;Graduate
1;8;1;12;1;1;1;23;28;8;8;0;0;0;1;0;0;18;0;0;8;8;8;1.277.125;0;0;8;8;8;1.277.125;0;9.4;-0.8;-3.12;Graduate
1;8;3;6;1;1;1;22;28;10;10;1;0;0;1;0;0;20;0;0;5;13;3;11.333.333.333.333.300;2;0;5;8;5;12.6;0;9.4;-0.8;-3.12;Enrolled
1;8;2;11;1;1;1;23;28;10;10;1;0;0;1;0;0;18;0;0;6;6;6;12.666.666.666.666.600;0;0;6;7;5;14.6;0;11.1;0.6;2.02;Graduate
1;1;1;5;1;1;1;1;1;5;5;0;0;0;0;0;0;18;0;1;6;10;5;12.2;1;0;6;11;4;10.833.333.333.333.300;0;13.9;-0.3;0.79;Enrolled
1;4;2;6;1;3;1;3;3;2;2;0;0;0;0;0;0;28;0;0;5;9;1;12.0;1;0;4;10;0;0.0;4;10.8;1.4;1.74;Dropout
1;1;2;12;1;1;1;22;1;8;8;1;0;0;1;0;1;18;0;0;8;12;7;11.721.428.571.428.500;0;0;8;12;7;11.721.428.571.428.500;0;12.7;3.7;-1.7;Graduate
1;12;1;12;1;12;1;22;28;23;34;0;0;0;1;0;0;27;0;0;7;12;4;14.0;0;0;7;14;3;12.525;0;12.4;0.5;1.79;Enrolled
1;12;1;1;1;1;1;3;1;3;5;0;0;0;1;0;0;26;0;0;7;9;7;14.75;0;0;7;12;5;13.8;3;16.2;0.3;-0.92;Enrolled
1;1;2;15;1;1;1;13;1;10;4;1;0;0;1;0;0;18;0;0;6;6;6;12.666.666.666.666.600;0;0;6;6;6;13.666.666.666.666.600;0;12.7;3.7;-1.7;Graduate
1;1;1;8;1;1;1;5;5;3;3;0;0;0;1;0;0;18;0;0;5;12;4;13.0;2;0;5;6;5;14.0;0;9.4;-0.8;-3.12;Dropout
1;1;2;9;1;1;1;1;14;5;7;0;1;0;1;0;0;21;0;0;5;6;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout
1;1;2;5;1;1;1;4;1;3;4;1;0;0;1;0;0;18;0;0;6;8;4;10.75;0;0;6;9;0;0.0;0;9.4;-0.8;-3.12;Enrolled
2;12;1;3;0;1;1;19;24;13;13;0;0;0;0;0;0;32;0;0;5;5;0;0.0;0;0;5;10;0;0.0;0;10.8;1.4;1.74;Dropout
1;12;2;14;1;1;1;19;24;1;1;0;0;0;1;0;0;28;0;0;5;6;4;12.5;0;0;5;7;4;11.75;0;7.6;2.6;0.32;Graduate
1;12;1;17;0;1;1;22;14;10;3;0;0;0;0;0;0;40;0;0;4;4;0;0.0;0;0;5;0;0;0.0;0;12.7;3.7;-1.7;Dropout
2;9;2;3;0;1;1;22;27;10;11;0;0;1;0;0;0;39;0;0;5;5;0;0.0;0;0;4;4;0;0.0;0;9.4;-0.8;-3.12;Dropout
2;9;2;10;1;1;1;22;27;10;11;0;0;1;0;0;0;39;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
2;12;1;4;1;1;1;22;14;10;5;0;0;0;1;0;0;50;0;0;6;7;6;12.5;0;0;6;15;5;12.4;0;8.9;1.4;3.51;Graduate
1;8;2;16;1;1;1;1;1;10;5;1;0;0;1;0;0;23;0;0;6;10;5;12.8;0;0;6;9;3;11.666.666.666.666.600;0;10.8;1.4;1.74;Dropout
4;12;1;3;0;12;1;19;24;1;1;0;0;0;1;0;0;48;0;0;6;11;1;10.0;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;Dropout
1;8;2;16;1;1;1;22;27;10;10;1;0;0;1;0;0;23;0;0;6;11;4;11.25;0;0;6;10;5;10.2;0;7.6;2.6;0.32;Dropout
1;1;6;12;1;1;1;22;1;6;6;1;0;0;1;0;1;18;0;0;8;8;7;12.61;0;0;8;8;7;12.61;0;10.8;1.4;1.74;Graduate
1;8;1;8;1;1;1;3;14;3;10;0;0;0;1;0;0;18;0;0;5;14;2;12.0;2;0;5;6;5;12.6;0;9.4;-0.8;-3.12;Graduate
1;6;1;10;1;1;12;3;27;3;9;1;0;0;0;0;0;20;1;0;6;9;5;13.0;0;0;6;7;6;13.5;0;13.9;-0.3;0.79;Graduate
1;9;3;6;1;1;18;1;1;10;10;1;0;0;1;0;1;18;1;0;5;9;4;12.0;0;0;5;8;5;13.0;0;10.8;1.4;1.74;Graduate
1;1;1;13;1;1;18;5;3;2;2;1;0;0;1;0;0;18;1;0;7;8;4;12.0;0;0;8;8;0;0.0;0;16.2;0.3;-0.92;Dropout
1;14;1;7;1;1;1;1;1;10;4;0;0;0;1;1;0;31;0;0;5;12;1;12.0;0;0;5;9;1;11.0;4;16.2;0.3;-0.92;Dropout
1;12;1;7;1;12;1;13;14;6;4;1;0;0;1;1;0;24;0;0;5;9;1;12.0;0;0;5;6;3;10.5;0;10.8;1.4;1.74;Enrolled
1;12;1;2;1;1;1;3;1;3;11;1;0;0;1;1;0;24;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Graduate
1;12;1;9;1;1;1;22;27;10;10;0;0;1;0;1;0;26;0;0;5;5;0;0.0;0;0;5;9;0;0.0;0;10.8;1.4;1.74;Dropout
1;1;1;8;1;1;1;3;3;3;3;1;0;1;1;1;0;18;0;0;6;11;5;13.625;0;0;6;9;4;11.75;0;16.2;0.3;-0.92;Dropout
1;8;1;9;1;1;1;22;27;5;8;0;0;0;1;1;1;19;0;0;5;12;3;11.666.666.666.666.600;0;0;5;10;3;11.666.666.666.666.600;0;12.7;3.7;-1.7;Enrolled
1;8;1;14;1;1;1;13;27;10;9;1;0;0;1;1;0;22;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;13.9;-0.3;0.79;Dropout
1;1;2;12;1;1;1;4;2;3;4;1;0;0;1;1;0;18;0;0;8;8;7;11.69;0;0;8;8;7;11.69;0;10.8;1.4;1.74;Graduate
1;15;1;5;1;14;1;1;14;5;8;0;0;1;0;1;0;20;0;0;6;11;0;0.0;6;0;6;12;0;0.0;12;16.2;0.3;-0.92;Dropout
1;15;1;2;1;14;1;4;4;3;3;0;0;0;1;1;0;25;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Graduate
1;14;1;17;0;1;1;3;3;5;5;1;0;0;1;1;0;24;0;0;5;10;4;11.5;0;0;5;11;5;11.285.714.285.714.200;0;13.9;-0.3;0.79;Graduate
1;12;1;7;1;1;1;3;3;5;5;1;0;0;1;1;0;27;0;0;5;10;1;14.0;0;0;5;0;0;0.0;0;8.9;1.4;3.51;Dropout
1;8;1;11;1;1;1;3;14;5;5;0;0;0;1;1;0;21;0;0;6;7;5;11.0;0;0;6;7;5;12.4;0;15.5;2.8;-4.06;Graduate
1;15;1;4;1;14;1;13;28;4;10;1;0;0;1;1;0;21;0;0;6;7;6;12.857.142.857.142.800;0;0;6;6;6;13.166.666.666.666.600;0;12.4;0.5;1.79;Graduate
1;9;3;15;1;1;1;13;1;10;10;1;0;0;1;1;0;19;0;0;6;9;4;12.5;0;0;6;6;6;11.333.333.333.333.300;0;10.8;1.4;1.74;Dropout
1;12;1;12;1;1;1;13;14;6;6;0;0;0;1;1;0;28;0;0;7;7;7;14.528.571.428.571.400;0;0;8;11;8;15.018.181.818.181.800;0;16.2;0.3;-0.92;Graduate
1;1;1;9;1;1;1;13;14;6;8;0;0;0;1;1;0;20;0;0;5;8;5;10.0;0;0;5;10;2;12.0;0;7.6;2.6;0.32;Enrolled
1;15;1;4;1;14;1;1;14;5;11;0;0;0;1;1;1;21;0;0;6;8;6;13.0;0;0;6;10;6;12.625;0;15.5;2.8;-4.06;Graduate
1;1;1;12;1;1;1;1;1;6;4;0;0;0;1;1;1;18;0;0;7;7;7;15.957.142.857.142.800;0;0;8;9;8;15.188.888.888.888.800;0;16.2;0.3;-0.92;Graduate
1;8;2;7;1;1;1;13;1;10;11;1;0;0;1;1;1;18;0;0;5;6;5;13.2;0;0;5;8;5;12.6;0;8.9;1.4;3.51;Enrolled
1;1;2;9;1;1;1;13;1;6;11;0;0;0;1;1;0;20;0;0;5;9;4;10.2;0;0;5;6;3;11.0;0;15.5;2.8;-4.06;Enrolled
1;12;1;7;1;15;1;1;1;6;11;0;0;0;1;1;0;25;0;2;5;6;5;14.2;0;1;5;5;2;13.5;0;16.2;0.3;-0.92;Enrolled
1;1;1;14;1;1;1;23;14;6;7;0;0;1;1;1;0;22;0;0;6;8;6;12.625;0;0;6;11;2;14.5;0;11.1;0.6;2.02;Enrolled
1;1;1;12;1;1;1;22;27;10;10;0;0;0;1;1;0;18;0;0;8;11;6;13.496.666.666.666.600;1;0;8;11;6;13.496.666.666.666.600;1;9.4;-0.8;-3.12;Enrolled
1;8;2;9;1;1;1;13;28;10;8;1;0;0;1;1;0;19;0;0;5;8;5;13.25;0;0;5;8;5;11.0;0;13.9;-0.3;0.79;Graduate
1;1;5;7;1;1;1;10;14;5;6;1;0;0;1;1;0;19;0;0;5;12;3;12.0;0;0;5;10;3;12.0;0;12.4;0.5;1.79;Dropout
1;12;1;15;1;12;1;13;1;8;10;1;0;1;0;1;0;25;0;0;6;10;4;13.0;0;0;6;9;4;13.75;0;12.7;3.7;-1.7;Dropout
1;14;1;5;1;1;1;10;10;2;11;0;0;1;1;1;0;21;0;5;11;12;9;1.177.777.777.777.770;0;3;8;11;3;13.666.666.666.666.600;0;15.5;2.8;-4.06;Dropout
1;8;3;7;1;1;1;1;2;4;3;1;0;0;1;1;0;19;0;0;5;10;2;11.0;0;0;6;10;0;0.0;0;11.1;0.6;2.02;Dropout
1;8;2;9;1;1;1;1;1;5;5;0;0;0;1;1;0;20;0;0;5;14;0;0.0;0;0;5;5;0;0.0;0;11.1;0.6;2.02;Dropout
1;15;1;4;1;14;1;3;2;3;3;0;0;0;1;1;0;25;0;9;14;16;14;12.428.571.428.571.400;0;3;9;13;6;10.857.142.857.142.800;0;15.5;2.8;-4.06;Dropout
1;8;1;9;1;1;1;13;1;8;5;1;0;0;1;1;0;20;0;0;5;8;3;11.0;0;0;5;11;3;12.0;0;10.8;1.4;1.74;Enrolled
1;1;1;2;1;1;1;22;27;10;10;1;0;0;1;1;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;Graduate
1;15;1;11;1;14;1;24;29;32;44;1;0;1;1;1;0;23;0;0;6;12;3;11.5;0;0;6;12;3;10.666.666.666.666.600;0;8.9;1.4;3.51;Enrolled
1;13;1;12;1;1;1;1;3;10;11;1;0;0;1;1;0;23;0;0;8;8;8;125.075;0;0;8;8;8;125.075;0;9.4;-0.8;-3.12;Graduate
1;17;1;4;1;16;1;3;28;20;30;0;0;0;1;1;0;21;0;7;12;18;11;12.090.909.090.909.000;0;5;12;14;11;12.0;0;8.9;1.4;3.51;Graduate
1;1;1;8;1;1;1;1;1;4;4;1;0;0;1;1;0;20;0;0;5;14;2;11.0;3;0;5;9;3;12.666.666.666.666.600;0;9.4;-0.8;-3.12;Enrolled
1;12;1;17;0;1;1;1;1;5;11;0;0;0;1;1;0;25;0;0;5;13;1;10.0;0;0;5;8;2;11.333.333.333.333.300;0;12.4;0.5;1.79;Dropout
1;1;1;8;1;1;1;13;28;10;10;1;0;0;1;1;0;18;0;0;6;6;6;13.5;0;0;6;9;5;13.2;0;8.9;1.4;3.51;Graduate
1;1;6;5;1;6;1;1;1;10;10;1;0;0;1;1;0;22;0;0;6;6;6;14.166.666.666.666.600;0;0;6;8;6;13.625;0;10.8;1.4;1.74;Graduate
1;12;1;14;1;1;1;13;14;4;10;0;0;0;1;1;0;27;0;0;6;7;6;14.0;0;0;6;7;6;14.714.285.714.285.700;0;8.9;1.4;3.51;Graduate
1;12;1;4;1;12;1;4;1;3;5;0;0;0;1;1;0;25;0;0;3;4;0;0.0;0;0;3;5;0;0.0;0;16.2;0.3;-0.92;Dropout
1;8;4;7;1;1;1;19;26;1;6;1;0;0;1;1;0;18;0;0;5;9;3;11.666.666.666.666.600;0;0;5;10;3;11.333.333.333.333.300;4;7.6;2.6;0.32;Dropout
1;8;1;6;1;1;1;23;14;9;9;0;0;0;1;1;0;20;0;0;5;7;5;14.6;1;0;5;5;5;14.2;0;12.7;3.7;-1.7;Graduate
1;12;1;4;1;1;1;3;4;3;3;0;0;0;1;1;0;27;0;0;6;10;5;13.0;0;0;6;13;5;11.5;0;16.2;0.3;-0.92;Graduate
1;1;1;3;0;1;1;1;1;10;10;0;0;0;1;1;0;20;0;0;6;7;6;12.166.666.666.666.600;0;0;6;9;6;12.0;0;7.6;2.6;0.32;Graduate
1;1;1;9;1;1;1;23;27;10;10;1;0;0;1;1;0;22;0;0;5;9;0;0.0;0;0;5;5;1;12.0;0;7.6;2.6;0.32;Dropout
1;8;6;7;1;1;1;13;3;6;11;1;0;0;1;1;0;19;0;0;5;10;3;10.5;0;0;5;11;3;10.8;0;12.4;0.5;1.79;Dropout
1;1;6;9;1;1;1;3;14;5;6;0;0;0;1;1;0;20;0;0;5;14;3;12.4;0;0;5;8;5;10.833.333.333.333.300;0;13.9;-0.3;0.79;Enrolled
1;14;4;2;1;1;1;13;10;10;11;0;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Graduate
2;12;1;6;1;7;1;1;1;5;5;1;0;0;0;1;0;29;0;0;5;12;0;0.0;4;0;5;8;0;0.0;1;9.4;-0.8;-3.12;Dropout
1;1;2;12;1;1;1;3;1;10;10;0;0;0;1;1;0;19;0;0;8;8;7;13.828.571.428.571.400;0;0;8;8;7;13.828.571.428.571.400;0;12.7;3.7;-1.7;Graduate
1;12;2;17;0;1;1;13;27;10;9;1;0;0;1;0;1;28;0;0;5;7;5;10.6;0;0;5;6;5;10.2;0;9.4;-0.8;-3.12;Enrolled
2;1;1;10;1;1;1;22;27;6;6;0;0;0;1;0;0;20;0;0;6;7;6;11.5;0;0;6;6;6;11.666.666.666.666.600;0;7.6;2.6;0.32;Graduate
1;1;4;5;1;1;1;22;27;10;9;1;0;0;1;0;0;20;0;0;6;6;4;13.5;0;0;6;8;6;13.625;0;10.8;1.4;1.74;Graduate
1;12;1;3;0;1;1;19;5;1;2;1;0;0;1;0;0;31;0;0;6;12;0;0.0;0;0;6;0;0;0.0;0;7.6;2.6;0.32;Dropout
1;8;5;12;1;1;1;10;1;6;6;1;0;0;1;0;0;18;0;0;7;8;7;125.375;0;0;8;9;7;12.614.285.714.285.700;0;13.9;-0.3;0.79;Graduate
1;8;1;14;1;1;1;1;14;9;8;1;0;0;1;0;0;19;0;0;6;6;6;14.833.333.333.333.300;0;0;6;8;6;13.285.714.285.714.200;0;8.9;1.4;3.51;Enrolled
1;1;1;9;1;1;1;22;28;10;9;1;0;0;1;0;0;18;0;0;5;10;4;12.0;0;0;5;9;4;12.8;0;13.9;-0.3;0.79;Graduate
1;8;1;11;1;1;1;22;27;8;8;0;0;0;1;0;0;19;0;0;6;8;5;11.8;0;0;6;8;5;11.6;0;10.8;1.4;1.74;Graduate
1;1;1;9;1;1;1;1;14;4;4;0;0;0;1;0;1;18;0;0;5;5;5;15.0;0;0;5;5;5;15.2;0;12.7;3.7;-1.7;Graduate
1;8;1;6;1;1;1;23;14;12;12;0;0;0;1;0;0;19;0;0;5;7;3;12.0;0;0;5;7;5;13.2;0;7.6;2.6;0.32;Graduate
1;8;1;15;1;1;1;23;28;10;9;1;0;0;1;0;1;18;0;0;6;6;6;12.833.333.333.333.300;0;0;6;7;6;12.285.714.285.714.200;0;15.5;2.8;-4.06;Graduate
1;1;3;11;1;1;1;22;27;10;4;1;0;0;1;0;0;19;0;0;6;12;6;11.666.666.666.666.600;0;0;6;14;3;12.0;0;7.6;2.6;0.32;Graduate
1;1;4;13;1;1;1;22;1;6;5;0;0;0;1;0;0;19;0;0;7;9;7;121.625;0;0;8;8;8;13.825;0;13.9;-0.3;0.79;Graduate
1;1;2;14;1;1;1;13;1;10;4;1;0;0;1;0;0;18;0;0;6;6;6;13.833.333.333.333.300;0;0;6;11;6;14.555.555.555.555.500;0;10.8;1.4;1.74;Graduate
1;1;1;12;1;1;1;3;14;3;9;0;0;0;1;0;0;19;0;0;7;12;4;12.45;0;0;7;11;5;11.7;0;16.2;0.3;-0.92;Enrolled
1;15;1;14;1;14;1;22;1;10;5;0;0;0;1;0;1;20;0;2;6;9;6;12.125;0;2;6;7;6;13.571.428.571.428.500;0;11.1;0.6;2.02;Graduate
1;8;1;14;1;1;1;1;14;5;9;1;0;0;1;0;0;20;0;0;6;8;5;13.4;0;0;6;10;4;13.0;0;12.7;3.7;-1.7;Enrolled
1;8;1;4;1;1;1;22;27;5;7;0;0;1;1;0;0;20;0;0;6;8;6;13.333.333.333.333.300;0;0;6;8;5;14.0;0;11.1;0.6;2.02;Enrolled
1;12;1;17;0;3;1;22;27;10;10;0;0;0;1;0;0;29;0;10;15;15;11;11.454.545.454.545.400;0;9;13;16;11;11.545.454.545.454.500;0;10.8;1.4;1.74;Dropout
1;8;1;16;1;1;1;23;10;8;1;0;0;0;0;0;1;20;0;0;6;10;4;12.0;0;0;6;14;3;10.0;0;7.6;2.6;0.32;Dropout
4;12;1;16;1;1;1;22;1;10;11;0;0;1;0;0;0;31;0;0;7;8;6;12.666.666.666.666.600;0;0;7;9;5;12.6;0;8.9;1.4;3.51;Dropout
1;8;1;14;1;1;1;13;27;8;5;0;1;0;1;0;0;20;0;0;6;7;6;12.666.666.666.666.600;0;0;6;9;6;1.377.777.777.777.770;0;10.8;1.4;1.74;Graduate
1;8;1;4;1;1;1;23;27;10;10;1;0;0;1;0;0;21;0;12;18;22;18;1.188.888.888.888.880;1;11;13;13;13;11.461.538.461.538.400;0;15.5;2.8;-4.06;Graduate
1;4;1;8;1;3;1;13;28;10;10;1;0;0;1;0;0;23;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;12.4;0.5;1.79;Dropout
1;8;5;5;1;1;1;13;28;6;8;0;0;1;0;0;0;21;0;0;6;6;4;13.0;0;0;6;8;4;11.6;0;10.8;1.4;1.74;Dropout
1;4;1;12;1;15;1;1;1;10;5;0;0;0;1;0;0;24;0;4;7;7;7;16.885.714.285.714.200;0;3;8;9;8;15.744.444.444.444.400;0;16.2;0.3;-0.92;Graduate
1;12;1;3;0;1;1;1;1;5;5;0;0;0;1;0;0;27;0;0;6;6;6;12.5;0;1;6;6;6;12.333.333.333.333.300;0;15.5;2.8;-4.06;Graduate
1;1;1;12;1;1;1;1;27;4;9;0;0;0;1;0;1;18;0;0;7;9;7;13.055.555.555.555.500;0;0;8;8;8;158.125;0;13.9;-0.3;0.79;Graduate
1;1;3;2;1;1;1;7;1;7;7;1;0;0;0;0;0;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
1;8;1;8;1;1;1;13;3;4;3;1;0;1;1;0;1;19;0;0;5;7;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Dropout
1;1;6;12;1;1;1;23;14;8;8;1;0;0;1;0;1;19;0;0;8;8;7;12.355.714.285.714.200;0;0;8;8;7;12.355.714.285.714.200;0;10.8;1.4;1.74;Graduate
1;8;1;6;1;1;1;13;28;32;44;0;0;0;1;0;0;18;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;12.4;0.5;1.79;Dropout
1;14;3;12;1;1;1;23;27;7;6;1;0;0;1;0;1;18;0;0;7;8;5;11.98;0;0;7;8;5;11.98;0;7.6;2.6;0.32;Enrolled
1;1;2;16;1;1;1;22;27;29;41;1;0;1;1;0;1;20;0;0;7;7;7;13.857.142.857.142.800;0;0;7;8;7;12.571.428.571.428.500;0;8.9;1.4;3.51;Graduate
2;1;1;3;0;1;1;1;27;5;8;1;0;0;1;0;0;24;0;0;6;9;5;13.0;0;0;6;6;6;14.166.666.666.666.600;0;9.4;-0.8;-3.12;Graduate
1;1;1;5;1;1;1;1;1;2;2;1;0;0;1;0;0;20;0;0;6;6;6;12.833.333.333.333.300;0;0;6;10;6;11.166.666.666.666.600;0;12.4;0.5;1.79;Graduate
1;8;3;9;1;1;1;1;14;6;8;0;0;0;1;0;0;20;0;0;5;11;4;11.0;0;0;5;7;5;13.2;0;12.4;0.5;1.79;Enrolled
1;1;1;12;1;1;1;13;27;10;10;1;0;0;1;0;1;19;0;0;8;8;7;12.357.142.857.142.800;0;0;8;8;7;12.357.142.857.142.800;0;12.7;3.7;-1.7;Graduate
1;1;6;12;1;1;1;1;27;10;10;1;0;0;1;0;1;18;0;0;8;8;7;13.857.142.857.142.800;0;0;8;8;7;13.857.142.857.142.800;0;12.7;3.7;-1.7;Graduate
1;8;2;10;1;3;1;22;27;8;9;1;0;0;1;0;1;20;0;0;6;6;6;12.333.333.333.333.300;0;0;6;6;6;10.666.666.666.666.600;0;9.4;-0.8;-3.12;Graduate
1;8;1;12;1;1;1;22;27;10;9;1;0;0;1;0;0;20;0;0;7;8;7;12.847.142.857.142.800;0;0;8;10;8;13.788.888.888.888.800;0;16.2;0.3;-0.92;Graduate
1;8;2;12;1;1;1;13;27;5;8;1;0;0;1;0;1;19;0;0;7;9;6;12.339.999.999.999.900;0;0;8;9;8;1.301.875;0;11.1;0.6;2.02;Graduate
1;15;1;6;1;14;1;3;1;3;4;1;0;0;1;0;0;19;0;0;6;10;5;12.666.666.666.666.600;0;0;6;19;4;11.75;0;12.4;0.5;1.79;Enrolled
1;1;1;15;1;1;1;3;14;5;6;1;0;0;1;0;0;20;0;0;6;6;6;13.833.333.333.333.300;0;0;6;6;6;12.5;0;12.7;3.7;-1.7;Graduate
1;8;2;9;1;1;1;1;28;5;4;1;0;0;1;0;0;19;0;0;5;15;2;10.75;0;0;5;11;2;10.0;0;13.9;-0.3;0.79;Dropout
1;8;5;16;1;1;1;23;28;10;8;1;0;0;1;0;0;19;0;0;6;11;4;13.25;0;0;6;10;4;10.25;0;9.4;-0.8;-3.12;Dropout
1;8;1;12;1;1;1;23;27;8;6;1;0;0;1;0;1;18;0;0;8;8;8;1.373.125;0;0;8;8;8;1.373.125;0;9.4;-0.8;-3.12;Graduate
1;8;4;5;1;1;1;23;27;10;10;0;0;0;1;0;1;23;0;0;6;6;6;13.333.333.333.333.300;0;0;6;8;3;12.666.666.666.666.600;0;11.1;0.6;2.02;Dropout
1;1;1;16;1;1;1;13;14;10;9;1;0;0;1;0;0;21;0;0;6;8;5;12.0;0;0;6;9;5;10.8;0;12.7;3.7;-1.7;Dropout
1;15;1;3;0;14;1;22;28;7;7;1;0;0;1;0;0;23;0;5;9;10;9;1.088.888.888.888.880;0;3;8;10;6;11.333.333.333.333.300;0;11.1;0.6;2.02;Graduate
1;1;3;12;1;1;1;13;27;10;8;1;0;0;1;0;0;19;0;0;7;8;7;13.025;0;0;8;9;8;13.811.111.111.111.100;0;13.9;-0.3;0.79;Graduate
1;8;2;15;1;1;1;1;28;6;7;1;0;0;1;0;0;18;0;0;6;6;6;13.0;0;0;6;6;6;14.166.666.666.666.600;0;12.4;0.5;1.79;Graduate
1;1;1;15;1;1;1;13;27;10;10;1;1;0;1;0;0;19;0;0;6;10;5;11.8;0;0;6;10;5;12.0;0;10.8;1.4;1.74;Graduate
